subjectID,ntime,top_n,fmiss
M10,5,5,0.48
M10,5,8,0.55
M10,5,10,0.6
M100,9,5,0.577777777777778
M100,9,8,0.666666666666667
M100,9,10,0.711111111111111
M101,12,5,0.566666666666667
M101,12,8,0.677083333333333
M101,12,10,0.725
M11,7,5,0.714285714285714
M11,7,8,0.821428571428571
M11,7,10,0.857142857142857
M114,7,5,0.0857142857142857
M114,7,8,0.178571428571429
M114,7,10,0.185714285714286
M116,7,5,0.542857142857143
M116,7,8,0.696428571428571
M116,7,10,0.757142857142857
M12,6,5,0.766666666666667
M12,6,8,0.854166666666667
M12,6,10,0.883333333333333
M13,3,5,0.733333333333333
M13,3,8,0.833333333333333
M13,3,10,0.866666666666667
M14,2,5,0.7
M14,2,8,0.8125
M14,2,10,0.85
M27,6,5,0.533333333333333
M27,6,8,0.645833333333333
M27,6,10,0.683333333333333
M28,6,5,0.166666666666667
M28,6,8,0.333333333333333
M28,6,10,0.433333333333333
M29,15,5,0.466666666666667
M29,15,8,0.608333333333333
M29,15,10,0.646666666666667
M30,18,5,0.188888888888889
M30,18,8,0.298611111111111
M30,18,10,0.383333333333333
M37,3,5,0.4
M37,3,8,0.5
M37,3,10,0.566666666666667
M40,9,5,0.0444444444444444
M40,9,8,0.305555555555556
M40,9,10,0.422222222222222
M47,13,5,0.476923076923077
M47,13,8,0.625
M47,13,10,0.676923076923077
M48,9,5,0.311111111111111
M48,9,8,0.375
M48,9,10,0.466666666666667
M5,11,5,0.618181818181818
M5,11,8,0.727272727272727
M5,11,10,0.781818181818182
M6,10,5,0.52
M6,10,8,0.6875
M6,10,10,0.75
M68,8,5,0.55
M68,8,8,0.703125
M68,8,10,0.7625
M69,10,5,0.56
M69,10,8,0.625
M69,10,10,0.68
M79,10,5,0.48
M79,10,8,0.5375
M79,10,10,0.6
M8,6,5,0.633333333333333
M8,6,8,0.770833333333333
M8,6,10,0.816666666666667
M84,12,5,0.316666666666667
M84,12,8,0.46875
M84,12,10,0.55
M85,12,5,0.45
M85,12,8,0.479166666666667
M85,12,10,0.533333333333333
M87,19,5,0.368421052631579
M87,19,8,0.486842105263158
M87,19,10,0.573684210526316
M88,20,5,0.24
M88,20,8,0.425
M88,20,10,0.495
M9,8,5,0.55
M9,8,8,0.671875
M9,8,10,0.7375
M95,15,5,0.426666666666667
M95,15,8,0.533333333333333
M95,15,10,0.613333333333333
M97,9,5,0.622222222222222
M97,9,8,0.763888888888889
M97,9,10,0.811111111111111
Q1,8,5,0.625
Q1,8,8,0.765625
Q1,8,10,0.8125
Q100,10,5,0.18
Q100,10,8,0.35
Q100,10,10,0.43
Q101,9,5,0.355555555555556
Q101,9,8,0.513888888888889
Q101,9,10,0.577777777777778
Q102,4,5,0.55
Q102,4,8,0.65625
Q102,4,10,0.725
Q103,5,5,0.64
Q103,5,8,0.775
Q103,5,10,0.82
Q105,10,5,0.24
Q105,10,8,0.4125
Q105,10,10,0.53
Q106,8,5,0.275
Q106,8,8,0.46875
Q106,8,10,0.575
Q117,5,5,0.28
Q117,5,8,0.325
Q117,5,10,0.42
Q118,11,5,0.381818181818182
Q118,11,8,0.534090909090909
Q118,11,10,0.609090909090909
Q123,3,5,0.2
Q123,3,8,0.375
Q123,3,10,0.433333333333333
Q124,9,5,0.155555555555556
Q124,9,8,0.361111111111111
Q124,9,10,0.455555555555556
Q125,12,5,0.183333333333333
Q125,12,8,0.416666666666667
Q125,12,10,0.516666666666667
Q126,9,5,0.222222222222222
Q126,9,8,0.472222222222222
Q126,9,10,0.566666666666667
Q13,10,5,0.6
Q13,10,8,0.65
Q13,10,10,0.66
Q130,4,5,0.65
Q130,4,8,0.65625
Q130,4,10,0.725
Q135,12,5,0.283333333333333
Q135,12,8,0.46875
Q135,12,10,0.516666666666667
Q14,4,5,0.4
Q14,4,8,0.59375
Q14,4,10,0.675
Q140,10,5,0.22
Q140,10,8,0.475
Q140,10,10,0.58
Q141,11,5,0.654545454545455
Q141,11,8,0.772727272727273
Q141,11,10,0.818181818181818
Q142,8,5,0.325
Q142,8,8,0.453125
Q142,8,10,0.5375
Q143,6,5,0.233333333333333
Q143,6,8,0.375
Q143,6,10,0.4
Q15,6,5,0.233333333333333
Q15,6,8,0.395833333333333
Q15,6,10,0.483333333333333
Q160,8,5,0.05
Q160,8,8,0.265625
Q160,8,10,0.4
Q164,9,5,0.4
Q164,9,8,0.569444444444444
Q164,9,10,0.655555555555556
Q17,10,5,0.66
Q17,10,8,0.775
Q17,10,10,0.82
Q172,9,5,0.355555555555556
Q172,9,8,0.541666666666667
Q172,9,10,0.611111111111111
Q174,8,5,0.5
Q174,8,8,0.609375
Q174,8,10,0.6625
Q175,11,5,0.254545454545455
Q175,11,8,0.5
Q175,11,10,0.581818181818182
Q177,7,5,0.4
Q177,7,8,0.607142857142857
Q177,7,10,0.685714285714286
Q183,6,5,0.133333333333333
Q183,6,8,0.375
Q183,6,10,0.466666666666667
Q184,11,5,0.254545454545455
Q184,11,8,0.5
Q184,11,10,0.6
Q185,15,5,0.2
Q185,15,8,0.441666666666667
Q185,15,10,0.553333333333333
Q189,8,5,0.275
Q189,8,8,0.34375
Q189,8,10,0.45
Q19,8,5,0.275
Q19,8,8,0.5
Q19,8,10,0.6
Q195,5,5,0.48
Q195,5,8,0.625
Q195,5,10,0.7
Q196,4,5,0.45
Q196,4,8,0.40625
Q196,4,10,0.475
Q197,3,5,0.533333333333333
Q197,3,8,0.708333333333333
Q197,3,10,0.766666666666667
Q2,7,5,0.771428571428571
Q2,7,8,0.857142857142857
Q2,7,10,0.885714285714286
Q20,4,5,0.25
Q20,4,8,0.53125
Q20,4,10,0.625
Q200,10,5,0.3
Q200,10,8,0.2875
Q200,10,10,0.41
Q202,8,5,0.35
Q202,8,8,0.46875
Q202,8,10,0.575
Q206,3,5,0.0666666666666667
Q206,3,8,0.291666666666667
Q206,3,10,0.433333333333333
Q207,10,5,0.72
Q207,10,8,0.825
Q207,10,10,0.86
Q208,7,5,0.485714285714286
Q208,7,8,0.607142857142857
Q208,7,10,0.657142857142857
Q215,11,5,0.2
Q215,11,8,0.386363636363636
Q215,11,10,0.490909090909091
Q216,4,5,0.15
Q216,4,8,0.28125
Q216,4,10,0.4
Q219,10,5,0.14
Q219,10,8,0.4
Q219,10,10,0.51
Q221,1,5,0.8
Q221,1,8,0.875
Q221,1,10,0.9
Q223,3,5,0.733333333333333
Q223,3,8,0.833333333333333
Q223,3,10,0.866666666666667
Q227,4,5,0.45
Q227,4,8,0.625
Q227,4,10,0.7
Q229,3,5,0.4
Q229,3,8,0.5
Q229,3,10,0.566666666666667
Q24,14,5,0.414285714285714
Q24,14,8,0.535714285714286
Q24,14,10,0.614285714285714
Q25,11,5,0.309090909090909
Q25,11,8,0.25
Q25,11,10,0.336363636363636
Q26,16,5,0.325
Q26,16,8,0.3203125
Q26,16,10,0.3875
Q36,12,5,0.366666666666667
Q36,12,8,0.552083333333333
Q36,12,10,0.641666666666667
Q38,12,5,0.283333333333333
Q38,12,8,0.364583333333333
Q38,12,10,0.4
Q39,10,5,0.32
Q39,10,8,0.4375
Q39,10,10,0.5
Q43,9,5,0.777777777777778
Q43,9,8,0.861111111111111
Q43,9,10,0.888888888888889
Q46,8,5,0.7
Q46,8,8,0.8125
Q46,8,10,0.85
Q5,6,5,0.2
Q5,6,8,0.291666666666667
Q5,6,10,0.4
Q50,13,5,0.553846153846154
Q50,13,8,0.673076923076923
Q50,13,10,0.692307692307692
Q51,6,5,0.733333333333333
Q51,6,8,0.833333333333333
Q51,6,10,0.866666666666667
Q53,7,5,0.342857142857143
Q53,7,8,0.553571428571429
Q53,7,10,0.642857142857143
Q54,4,5,0.7
Q54,4,8,0.8125
Q54,4,10,0.85
Q67,11,5,0.218181818181818
Q67,11,8,0.318181818181818
Q67,11,10,0.4
Q68,11,5,0.236363636363636
Q68,11,8,0.25
Q68,11,10,0.345454545454545
Q70,4,5,0.4
Q70,4,8,0.46875
Q70,4,10,0.525
Q75,3,5,0.266666666666667
Q75,3,8,0.416666666666667
Q75,3,10,0.533333333333333
Q78,6,5,0.366666666666667
Q78,6,8,0.541666666666667
Q78,6,10,0.6
Q79,8,5,0.4
Q79,8,8,0.578125
Q79,8,10,0.6625
Q80,7,5,0.685714285714286
Q80,7,8,0.803571428571429
Q80,7,10,0.842857142857143
Q82,10,5,0.74
Q82,10,8,0.8375
Q82,10,10,0.87
Q83,10,5,0.64
Q83,10,8,0.75
Q83,10,10,0.8
Q86,6,5,0.5
Q86,6,8,0.645833333333333
Q86,6,10,0.716666666666667
Q87,9,5,0.222222222222222
Q87,9,8,0.416666666666667
Q87,9,10,0.5
Q88,7,5,0.342857142857143
Q88,7,8,0.5
Q88,7,10,0.557142857142857
Q90,8,5,0.175
Q90,8,8,0.328125
Q90,8,10,0.375
Q93,15,5,0.28
Q93,15,8,0.458333333333333
Q93,15,10,0.54
Q97,4,5,0.8
Q97,4,8,0.875
Q97,4,10,0.9
Q99,8,5,0.075
Q99,8,8,0.234375
Q99,8,10,0.325
