class	condition	mean_ratio	n
Acidimicrobiia	Aerobic	0.9662315812955347	2
Acidimicrobiia	AerobictoAnoxic	1.0530038368265977	2
Acidimicrobiia	Anoxic	1.0084791792093621	2
Acidimicrobiia	AnoxictoAerobic	1.009061244282347	2
Acidimicrobiia	time_series	0.5097845399346945	2
Actinobacteria	Aerobic	0.6562349506566959	21
Actinobacteria	AerobictoAnoxic	0.5021867597953297	21
Actinobacteria	Anoxic	0.5882845217842217	21
Actinobacteria	AnoxictoAerobic	0.5198924521026962	21
Actinobacteria	time_series	0.2552349322997176	21
Anaerolineae	Aerobic	2.1640213479545545	2
Anaerolineae	AerobictoAnoxic	1.2310489726714915	2
Anaerolineae	Anoxic	2.1264867322036403	2
Anaerolineae	AnoxictoAerobic	1.4262176449046813	2
Anaerolineae	time_series	1.9372595621012714	2
Betaproteobacteria	Aerobic	0.9421403167656733	10
Betaproteobacteria	AerobictoAnoxic	0.9035090708750065	10
Betaproteobacteria	Anoxic	0.8850808810060065	10
Betaproteobacteria	AnoxictoAerobic	0.9610853852288274	10
Betaproteobacteria	time_series	0.5333305589019249	10
Deltaproteobacteria	Aerobic	1.4454861377520831	2
Deltaproteobacteria	AerobictoAnoxic	1.962966573113186	2
Deltaproteobacteria	Anoxic	1.738538093777081	2
Deltaproteobacteria	AnoxictoAerobic	2.124800735471842	2
Deltaproteobacteria	time_series	0.7767413045116837	2
Flavobacteriia	Aerobic	0.47793563529950245	2
Flavobacteriia	AerobictoAnoxic	0.501131099569111	2
Flavobacteriia	Anoxic	0.41590459104674204	2
Flavobacteriia	AnoxictoAerobic	0.4702813728981252	2
Flavobacteriia	time_series	0.6563430791163412	2
Gammaproteobacteria	Aerobic	1.4070295065654392	10
Gammaproteobacteria	AerobictoAnoxic	1.149015203779936	10
Gammaproteobacteria	Anoxic	0.5451311698091997	10
Gammaproteobacteria	AnoxictoAerobic	0.9997404897393148	10
Gammaproteobacteria	time_series	0.8299538065477171	10
Nitrospira	Aerobic	0.7367704309267425	1
Nitrospira	AerobictoAnoxic	0.7335821200945497	1
Nitrospira	Anoxic	1.0329622493303845	1
Nitrospira	AnoxictoAerobic	0.7996710384244695	1
Nitrospira	time_series	0.7928737702449993	1
Sphingobacteriia	Aerobic	0.6064940906627929	20
Sphingobacteriia	AerobictoAnoxic	0.5802705797169213	20
Sphingobacteriia	Anoxic	0.6088901876996519	20
Sphingobacteriia	AnoxictoAerobic	0.5548426645091786	20
Sphingobacteriia	time_series	0.8025779947426244	20
Spirochaetia	Aerobic	0.4881211102794743	4
Spirochaetia	AerobictoAnoxic	0.5971972716149013	4
Spirochaetia	Anoxic	0.3841754446567433	4
Spirochaetia	AnoxictoAerobic	0.6015105645426021	4
Spirochaetia	time_series	1.5914113064255357	4
Verrucomicrobiae	Aerobic	1.1506637505776522	1
Verrucomicrobiae	AerobictoAnoxic	1.1261298588531996	1
Verrucomicrobiae	Anoxic	1.1557160525436079	1
Verrucomicrobiae	AnoxictoAerobic	1.1577538858430314	1
Verrucomicrobiae	time_series	1.121732599987845	1
NA	Aerobic	0.566666230336564	3
NA	AerobictoAnoxic	0.6821252805026897	3
NA	Anoxic	0.7277101648090105	3
NA	AnoxictoAerobic	0.671597303699672	3
NA	time_series	0.35810350468290547	3
